Title,Details,Image URL,Product URL,Description,Price
Nike Air,Men's Graphic T-Shirt,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5df6a4de-9324-4ed5-b019-f7c83700f4b5/air-mens-graphic-t-shirt-17KPJj.png",https://www.nike.comhttps://www.nike.com/t/air-mens-graphic-t-shirt-17KPJj/HM0185-100,Add some throwback Air to your wardrobe in this classic tee. This closet staple pairs soft fabric and a traditional fit that feels like an old favorite on the very first wear.Shown: White/BlackStyle: HM0185-100,$35
Nike Club,Men's French Terry Flow Shorts,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/79fbc7fa-79b1-465e-9a8e-7ee8bd886839/club-mens-french-terry-flow-shorts-NwJvmn.png",https://www.nike.comhttps://www.nike.com/t/club-mens-french-terry-flow-shorts-NwJvmn/FN3520-412,"Pull on a pair of our lightweight French terry Flow shorts from Nike Club and get on with your day in style and comfort. Relaxed through the seat and thighs, they're perfect for pairing with a T-shirt for a day in the sun.Shown: University Blue/University Blue/WhiteStyle: FN3520-412",$55
Nike Primary,Men's Dri-FIT Versatile Tank,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/999e8a50-742e-4110-84c6-90239451e4bf/primary-mens-dri-fit-versatile-tank-RcQ41g.png",https://www.nike.comhttps://www.nike.com/t/primary-mens-dri-fit-versatile-tank-RcQ41g/DV9833-100,"Run, spin, lift, stretch—no matter where your workout takes you, we have you covered in the sweat-wicking Primary Tank. It's ultra soft and comfortable, with underarm ventilation to help keep you cool during your reps.Shown: White/WhiteStyle: DV9833-100",$55
Nike Unlimited,"Men's Dri-FIT 5"" Unlined Versatile Shorts","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/57fae861-5d02-460a-8570-74f73a218e0e/unlimited-mens-dri-fit-5-unlined-versatile-shorts-nlD0tf.png",https://www.nike.comhttps://www.nike.com/t/unlimited-mens-dri-fit-5-unlined-versatile-shorts-nlD0tf/DV9336-084,"Designed for running, training and yoga, our sweat-wicking Unlimited Shorts were made to do it all. They're here for whatever your workout requires, with stretchy fabric that helps you stay free to move. Plus, a hidden pocket lets you keep your phone close as you bring the heat to the gym or a run.Shown: Smoke Grey/Black/Smoke GreyStyle: DV9336-084",$60
Nike Primary,Men's Dri-FIT Short-Sleeve Versatile Top,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/942a0147-3e12-4a68-80da-cd3a7a8b7b6b/primary-mens-dri-fit-short-sleeve-versatile-top-XK77j1.png",https://www.nike.comhttps://www.nike.com/t/primary-mens-dri-fit-short-sleeve-versatile-top-XK77j1/DV9831-370,"Run, spin, lift, stretch—no matter where your workout takes you, we have you covered in the sweat-wicking Primary Top. We designed it to be soft and comfortable, with underarm ventilation to help keep you cool during your reps.Shown: Jade Horizon/Jade HorizonStyle: DV9831-370",$55
Nike Unlimited,"Men's Dri-FIT 7"" Unlined Versatile Shorts","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b8bf902f-de19-4ad9-bea8-87aa4d1f5679/unlimited-mens-dri-fit-7-unlined-versatile-shorts-HX9Jjq.png",https://www.nike.comhttps://www.nike.com/t/unlimited-mens-dri-fit-7-unlined-versatile-shorts-HX9Jjq/DV9340-010,"Built for running, training and yoga, our Unlimited collection helps keep you moving throughout the year, thanks to its premium materials and innovative features. These shorts are here for whatever your workout requires, with stretchy fabric that won't get in the way of movement. Plus, a hidden pocket lets you keep your phone close as you bring the heat to the gym or a run.Shown: Black/Black/BlackStyle: DV9340-010",$60
Nike Sportswear Tech Fleece,Men's Pullover Hoodie,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/25cc8875-d4ae-4c9e-91e1-1be0eabfc545/sportswear-tech-fleece-mens-pullover-hoodie-gj7srq.png",https://www.nike.comhttps://www.nike.com/t/sportswear-tech-fleece-mens-pullover-hoodie-gj7srq/FB8016-276,"Clean and classic, this pullover hoodie brings premium warmth to a versatile, everyday design. Our premium, smooth-on-both-sides fleece feels warmer and softer than ever, while keeping the same lightweight build you love. Just the right amount of Tech Fleece DNA (like the thin elastic trim at the cuffs) provides a signature finish. Wear it with your Tech Fleece joggers and a pair of Nike sneakers for a uniform look.Shown: Neutral Olive/BlackStyle: FB8016-276",$120
Nike Sportswear Tech Fleece,Men's Shorts,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/59e2c424-d12d-4cb1-8f88-23480b57c2a5/sportswear-tech-fleece-mens-shorts-jbdtpn.png",https://www.nike.comhttps://www.nike.com/t/sportswear-tech-fleece-mens-shorts-jbdtpn/FB8171-276,"Pull on these Tech Fleece shorts for laid-back comfort that lasts all day long. Our premium, smooth-on-both-sides fleece feels warmer and softer than ever, while keeping the same lightweight build you love. With a relaxed fit that hits just above the knee, these comfy shorts feature signature Tech Fleece details to keep your look polished. Pair them up with a tee or a Tech Fleece hoodie for a uniform finish.Shown: Neutral Olive/BlackStyle: FB8171-276",$95
Nike Sportswear Club Fleece,Pullover Hoodie,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5de18338-3337-40c1-83e0-53a5e9ed18c0/sportswear-club-fleece-pullover-hoodie-Gw4Nwq.png",https://www.nike.comhttps://www.nike.com/t/sportswear-club-fleece-pullover-hoodie-Gw4Nwq/BV2654-063,"A closet staple, the Nike Sportswear Club Fleece Pullover Hoodie combines classic style with the soft comfort of fleece.Shown: Dark Grey Heather/Matte Silver/WhiteStyle: BV2654-063",$65
Nike Sportswear Club Fleece,Joggers,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/2b98ae55-38d5-45c6-98b8-c3ff631858b1/sportswear-club-fleece-joggers-KflRdQ.png",https://www.nike.comhttps://www.nike.com/t/sportswear-club-fleece-joggers-KflRdQ/BV2671-063,"A closet staple, the Nike Sportswear Club Fleece Joggers combine a classic look with the soft comfort of fleece for an elevated, everyday look that you can wear every day.Shown: Dark Grey Heather/Matte Silver/WhiteStyle: BV2671-063",$60
Nike Solar Chase,Men's Dri-FIT Sleeveless Running Top,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/a2e932d6-90f4-4170-be6a-6d69c28b3394/solar-chase-mens-dri-fit-sleeveless-running-top-lV588P.png",https://www.nike.comhttps://www.nike.com/t/solar-chase-mens-dri-fit-sleeveless-running-top-lV588P/FN3309-464,"Whether you're out for a quick forest jog or a longer mountain run, Nike Trail has the durability and adaptability to help make connecting with your surroundings easier, even in dynamic conditions.This sleeveless top is light and breathable, with sweat-wicking fabric to help keep you dry on your run. Using insights from our athletes, we widened the shoulder design to help prevent chafing from hydration pack straps.Shown: Denim Turquoise/Vintage Coral/BlackStyle: FN3309-464",$65
Nike Trail Second Sunrise,"Men's Dri-FIT 7"" Brief-Lined Running Shorts","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/01ef7110-be7b-4eb8-9635-e89ee03fc180/trail-second-sunrise-mens-dri-fit-7-brief-lined-running-shorts-LL2BSK.png",https://www.nike.comhttps://www.nike.com/t/trail-second-sunrise-mens-dri-fit-7-brief-lined-running-shorts-LL2BSK/FB4194-464,"Designed for trail running, our sweat-wicking Trail Shorts let you settle into the long haul. We designed them using insights from trail runners like you, with a breathable feel and a shape the helps you get the most out of your stride. We know you want to bring your outdoor essentials with you, so there's plenty of pockets—as in 7 pockets— to keep all your gear close and secure.Shown: Denim Turquoise/Khaki/BlackStyle: FB4194-464",$75
Nike Sportswear Solo Swoosh,Men's Woven Track Jacket,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/dc5c1fff-ad8e-41bd-9bef-f880239df2af/sportswear-solo-swoosh-mens-woven-track-jacket-hrSnXz.png",https://www.nike.comhttps://www.nike.com/t/sportswear-solo-swoosh-mens-woven-track-jacket-hrSnXz/FB8622-626,"Day or night, our Solo Swoosh track jacket gives you clean, classic style that's synonymous with our Solo Swoosh collection. The woven fabric feels crisp and lightweight, and the reflective piping adds a pop of contrast. For a uniform look from the front door to the record store, pair it up with our matching Solo Swoosh track pants.Shown: Dragon Red/WhiteStyle: FB8622-626",$145
Nike Solo Swoosh,Men's Track Pants,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e031ab78-92ca-4107-9d2c-83946915f3dd/solo-swoosh-mens-track-pants-p1Z2bG.png",https://www.nike.comhttps://www.nike.com/t/solo-swoosh-mens-track-pants-p1Z2bG/FB8620-626,"The ultimate pants for getting around town in rain or shine, our Solo Swoosh track pants give you the clean, classic style that's synonymous with our Solo Swoosh collection. Water-repellent woven fabric is set off with track-inspired reflective piping on the outer legs. The zippered pockets and ankle cuffs give you the luxury of securely storing your things and adjusting your fit when you're on the go, from the front door to the record store.Shown: Dragon Red/WhiteStyle: FB8620-626",$145
Nike ACG,Men's Dri-FIT T-Shirt,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f4e30e23-f6da-4988-a800-899b167ac148/acg-mens-dri-fit-t-shirt-63zrCD.png",https://www.nike.comhttps://www.nike.com/t/acg-mens-dri-fit-t-shirt-63zrCD/FV3492-053,"A mix of heavyweight blended fabric and a roomy fit makes this ACG tee the GOAT. Nike Dri-FIT technology moves sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.Shown: Dark StuccoStyle: FV3492-053",$55
Nike ACG,Men's Hiking Shorts,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f2494b0a-d8d0-401a-b522-59e29aade56b/acg-mens-hiking-shorts-mhw9nm.png",https://www.nike.comhttps://www.nike.com/t/acg-mens-hiking-shorts-mhw9nm/FN2430-053,"Ready for exploration, these stretchy Nike ACG hiking shorts are sweat wicking and water repellent to help you stay dry on and off the trail. They're made with movement in mind, with a roomy design that gives you some space through the seat and thighs. The mobility gusset helps you stride through tricky terrain with less restriction.Shown: Dark Stucco/Summit WhiteStyle: FN2430-053",$100
Nike ACG,Men's Dri-FIT Long-Sleeve T-Shirt,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/08afeec4-66c3-4e62-aebc-ae3c83bb175e/acg-mens-dri-fit-long-sleeve-t-shirt-x8CjXP.png",https://www.nike.comhttps://www.nike.com/t/acg-mens-dri-fit-long-sleeve-t-shirt-x8CjXP/FV3486-618,"Made with heavyweight fabric for soft, structured comfort, this roomy ACG tee brings fresh ripple effect graphics in honor of waves and new beginnings. Plus, our sweat-wicking tech helps you stay dry while you're out exploring the rivers, lakes and streams.Shown: Red StardustStyle: FV3486-618",$60
"Nike ACG ""Reservoir Goat""",Men's Allover Print Shorts,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/20cc9c3d-be29-4ce1-a82b-8d9e72b7c248/acg-reservoir-goat-mens-allover-print-shorts-1prHGQ.png",https://www.nike.comhttps://www.nike.com/t/acg-reservoir-goat-mens-allover-print-shorts-1prHGQ/FN2474-493,"Lightweight, stretchy and packable, these ""Reservoir Goat"" shorts from ACG are made to do it all. Water-repellent fabric helps shed the moisture during a quick cloudburst or after a misty hike. The lightweight fabric also dries quickly, meaning if even if you get wet, you won't stay wet for long. An allover print depicts the rippling water of Goat Lake in the Northern Cascades.Shown: Ashen Slate/Light Armory Blue/Summit WhiteStyle: FN2474-493",$90
Nike Tech Fleece Reimagined,Men's Polo,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/9bbfa1b2-1631-46c9-85a9-c235d4dccb17/tech-fleece-reimagined-mens-polo-kBql8T.png",https://www.nike.comhttps://www.nike.com/t/tech-fleece-reimagined-mens-polo-kBql8T/FZ7570-104,"Based on classic polo tops, the Tech Fleece version has simple, clean lines that put the focus on the fabric. Our warmer-than-ever Tech Fleece is built for comfort, with a feel that's both plush and structured. A roomy fit makes it great for layering or wearing as a stand-alone top.Shown: Light Orewood Brown/Light Orewood BrownStyle: FZ7570-104",$130
